,x,y,label,DBSCAN,BIRCH
0,15.55,28.65,2,0,7
1,14.9,27.55,2,0,7
2,14.45,28.35,2,0,7
3,14.15,28.8,2,0,7
4,13.75,28.05,2,0,7
5,13.35,28.45,2,0,7
6,13.0,29.15,2,0,7
7,13.45,27.5,2,0,7
8,13.6,26.5,2,0,7
9,12.8,27.35,2,0,7
10,12.4,27.85,2,0,7
11,12.3,28.4,2,0,7
12,12.2,28.65,2,0,7
13,13.4,25.1,2,0,7
14,12.95,25.95,2,0,7
15,12.9,26.5,2,0,7
16,11.85,27.0,2,0,7
17,11.35,28.0,2,0,7
18,11.15,28.7,2,0,7
19,11.25,27.4,2,0,7
20,10.75,27.7,2,0,7
21,10.5,28.35,2,0,7
22,9.65,28.45,2,0,7
23,10.25,27.25,2,0,7
24,10.75,26.55,2,0,7
25,11.7,26.35,2,0,7
26,11.6,25.9,2,0,7
27,11.9,25.05,2,0,7
28,12.6,24.05,2,0,7
29,11.9,24.5,2,0,7
30,11.1,25.2,2,0,7
31,10.55,25.15,2,0,7
32,10.05,25.95,2,0,7
33,9.35,26.6,2,0,7
34,9.3,27.25,2,0,7
35,9.2,27.8,2,0,7
36,7.5,28.25,2,0,7
37,8.55,27.45,2,0,7
38,8.5,27.05,2,0,7
39,8.05,27.2,2,0,7
40,7.85,26.8,2,0,7
41,7.3,27.4,2,0,7
42,6.8,26.85,2,0,7
43,7.0,26.5,2,0,7
44,7.55,26.3,2,0,7
45,8.55,26.3,2,0,7
46,9.0,25.85,2,0,7
47,8.6,25.65,2,0,7
48,9.4,25.55,2,0,7
49,8.45,25.05,2,0,7
50,8.85,24.6,2,0,7
51,9.65,24.7,2,0,7
52,10.55,24.35,2,0,7
53,11.05,23.9,2,0,7
54,10.55,23.55,2,0,7
55,9.45,23.35,2,0,7
56,9.2,23.9,2,0,7
57,8.35,23.9,2,0,7
58,7.35,24.75,2,0,7
59,7.4,25.45,2,0,7
60,6.6,25.75,2,0,7
61,6.1,26.0,2,0,7
62,5.8,26.95,2,0,7
63,5.65,25.8,2,0,7
64,5.3,26.1,2,0,7
65,6.4,25.4,2,0,7
66,5.4,25.25,2,0,7
67,5.35,24.7,2,0,7
68,4.8,25.05,2,0,7
69,4.2,25.55,2,0,7
70,6.4,24.8,2,0,7
71,6.55,24.3,2,0,7
72,7.4,24.25,2,0,7
73,5.45,24.2,2,0,7
74,4.3,24.0,2,0,7
75,4.0,24.25,2,0,7
76,3.35,23.3,2,0,7
77,4.85,23.05,2,0,7
78,4.3,22.75,2,0,7
79,5.85,23.4,2,0,7
80,5.9,23.55,2,0,7
81,7.55,23.7,2,0,7
82,6.85,23.25,2,0,7
83,7.65,23.1,2,0,7
84,6.95,22.55,2,0,7
85,6.1,22.6,2,0,7
86,5.5,22.6,2,0,7
87,4.7,22.1,2,0,7
88,3.8,21.85,2,0,7
89,4.65,21.2,2,0,7
90,4.15,20.35,2,0,7
91,5.3,20.4,2,0,7
92,5.6,20.75,2,0,7
93,5.8,21.95,2,0,7
94,6.4,21.95,2,0,7
95,6.55,21.15,2,0,7
96,7.45,21.95,2,0,7
97,7.4,21.55,2,0,7
98,7.75,21.2,2,0,7
99,7.65,20.65,2,0,7
100,6.95,19.8,2,0,7
101,6.6,20.1,2,0,7
102,6.05,20.2,2,0,7
103,5.4,19.65,2,0,7
104,5.35,19.05,2,0,7
105,5.8,18.25,2,0,7
106,6.3,19.1,2,0,7
107,7.0,18.9,2,0,7
108,7.15,17.9,2,0,7
109,7.35,18.2,2,0,7
110,8.2,20.05,2,0,7
111,8.3,19.45,2,0,7
112,8.3,18.5,2,0,7
113,8.75,18.8,2,0,7
114,9.05,18.2,2,0,7
115,9.35,17.7,2,0,7
116,8.9,17.65,2,0,7
117,8.45,17.2,2,0,7
118,10.05,17.2,2,0,7
119,10.4,16.75,2,0,7
120,8.6,20.9,2,0,7
121,8.65,21.3,2,0,7
122,8.65,21.9,2,0,7
123,8.65,22.5,2,0,7
124,8.95,22.8,2,0,7
125,9.95,22.65,2,0,7
126,8.95,22.2,2,0,7
127,9.65,21.9,2,0,7
128,10.55,22.3,2,0,7
129,10.9,22.85,2,0,7
130,11.35,23.45,2,0,7
131,12.05,23.4,2,0,7
132,12.3,22.75,2,0,7
133,11.7,22.15,2,0,7
134,11.15,22.05,2,0,7
135,10.85,21.5,2,0,7
136,10.85,21.05,2,0,7
137,9.6,21.3,2,0,7
138,9.85,20.7,2,0,7
139,9.35,20.6,2,0,7
140,9.25,19.65,2,0,7
141,9.95,19.8,2,0,7
142,10.7,20.35,2,0,7
143,11.3,20.7,2,0,7
144,12.35,21.6,2,0,7
145,13.1,21.3,2,0,7
146,12.85,20.75,2,0,7
147,12.0,20.0,2,0,7
148,11.0,19.85,2,0,7
149,10.35,19.0,2,0,7
150,9.9,18.65,2,0,7
151,10.6,18.15,2,0,7
152,11.4,18.3,2,0,7
153,11.4,19.25,2,0,7
154,12.35,18.8,2,0,7
155,12.8,19.75,2,0,7
156,12.15,18.1,2,0,7
157,11.05,17.5,2,0,7
158,11.95,17.25,2,0,7
159,12.25,17.5,2,0,7
160,13.05,17.4,2,0,7
161,13.75,18.15,2,0,7
162,13.5,18.65,2,0,7
163,13.65,19.25,2,0,7
164,14.0,19.9,2,0,7
165,15.2,18.2,2,0,7
166,15.5,17.15,2,0,7
167,13.9,17.1,2,0,7
168,13.75,16.6,2,0,7
169,12.15,16.4,2,0,7
170,7.8,13.7,7,1,9
171,8.85,13.35,7,1,9
172,9.0,12.7,7,1,9
173,9.7,12.1,7,1,9
174,8.05,12.9,7,1,9
175,7.7,13.25,7,1,9
176,6.8,13.2,7,1,9
177,6.6,13.45,7,1,9
178,6.2,12.55,7,1,9
179,5.4,12.85,7,1,9
180,5.7,12.25,7,1,9
181,5.2,11.9,7,1,9
182,5.15,11.35,7,1,9
183,5.85,11.2,7,1,9
184,6.1,11.75,7,1,9
185,7.0,12.35,7,1,9
186,7.05,12.45,7,1,9
187,7.9,12.5,7,1,9
188,8.55,12.1,7,1,9
189,7.85,11.85,7,1,9
190,7.1,11.95,7,1,9
191,6.9,11.5,7,1,9
192,6.85,10.9,7,1,9
193,6.4,10.7,7,1,9
194,5.9,10.3,7,1,9
195,6.4,10.25,7,1,9
196,7.05,10.05,7,1,9
197,7.35,10.5,7,1,9
198,7.65,11.1,7,1,9
199,8.1,11.2,7,1,9
200,8.8,11.4,7,1,9
201,8.3,10.55,7,1,9
202,9.0,10.9,7,1,9
203,9.35,10.5,7,1,9
204,10.15,11.0,4,1,9
205,10.4,10.55,4,1,9
206,10.9,10.0,4,1,6
207,11.55,10.2,4,1,6
208,11.75,10.85,4,1,6
209,10.1,8.65,4,1,9
210,11.05,9.1,4,1,9
211,11.85,9.8,4,1,6
212,12.85,10.65,4,1,6
213,12.9,11.7,4,1,6
214,13.6,11.1,4,1,6
215,14.05,11.75,4,1,6
216,14.5,11.8,4,1,6
217,14.3,12.45,4,1,6
218,17.0,12.9,4,1,6
219,15.8,12.6,4,1,6
220,15.85,12.0,4,1,6
221,16.7,12.2,4,1,6
222,16.25,11.7,4,1,6
223,15.55,11.15,4,1,6
224,14.8,11.35,4,1,6
225,14.45,10.75,4,1,6
226,13.75,10.45,4,1,6
227,12.8,10.1,4,1,6
228,13.15,9.8,4,1,6
229,12.45,9.3,4,1,6
230,11.8,8.95,4,1,9
231,11.1,8.45,4,1,9
232,10.35,7.7,4,1,9
233,10.1,6.75,4,1,9
234,11.3,7.95,4,1,9
235,12.35,8.45,4,1,9
236,13.1,8.95,4,1,6
237,13.2,9.35,4,1,6
238,14.1,10.05,4,1,6
239,11.5,7.5,4,1,9
240,11.35,6.9,4,1,9
241,11.95,6.75,4,1,9
242,12.4,7.1,4,1,9
243,12.25,7.6,4,1,9
244,12.95,7.6,4,1,9
245,13.45,7.95,4,1,9
246,13.35,8.25,4,1,9
247,13.75,9.0,4,1,6
248,14.3,9.3,4,1,6
249,14.85,9.55,4,1,6
250,15.1,10.25,4,1,6
251,15.45,10.55,4,1,6
252,16.35,10.85,4,1,6
253,16.75,11.5,4,1,6
254,16.25,10.2,4,1,6
255,15.4,10.1,4,1,6
256,15.45,9.7,4,1,6
257,15.15,9.3,4,1,6
258,15.25,8.65,4,1,6
259,15.55,8.2,4,1,6
260,14.25,8.7,4,1,9
261,14.25,8.25,4,1,9
262,15.05,7.8,4,1,6
263,14.3,7.5,4,1,9
264,13.55,7.45,4,1,9
265,14.3,6.95,4,1,9
266,13.95,6.7,4,1,9
267,13.05,6.95,4,1,9
268,13.05,6.2,4,1,9
269,11.55,6.3,4,1,9
270,10.8,5.85,4,1,9
271,10.6,5.05,4,1,9
272,11.35,5.55,4,1,9
273,12.15,5.4,4,1,9
274,12.4,5.8,4,1,9
275,12.8,5.7,4,1,9
276,13.65,5.9,4,1,9
277,13.9,5.3,4,1,9
278,13.1,5.1,4,1,9
279,12.55,4.9,4,1,9
280,11.5,4.75,4,1,9
281,11.35,4.05,4,1,9
282,12.4,4.35,4,1,9
283,11.75,3.45,4,1,9
284,12.65,3.7,4,1,9
285,13.4,4.35,4,1,9
286,13.9,4.95,4,1,9
287,12.75,3.0,4,1,9
288,13.55,3.15,4,1,9
289,13.7,3.65,4,1,9
290,14.1,4.1,4,1,9
291,14.65,5.05,4,1,9
292,14.35,5.75,4,1,9
293,14.5,6.55,4,1,9
294,15.15,7.1,4,1,6
295,13.6,2.55,4,1,9
296,14.45,2.4,4,1,6
297,14.6,3.05,4,1,6
298,15.0,3.4,4,1,6
299,15.25,3.5,4,1,6
300,14.7,4.1,4,1,6
301,14.7,4.5,4,1,6
302,15.25,2.7,4,1,6
303,15.65,2.05,4,1,6
304,15.95,2.8,4,1,6
305,16.1,3.55,4,1,6
306,15.9,4.0,4,1,6
307,15.6,4.75,4,1,9
308,15.55,5.05,4,1,9
309,15.35,5.5,4,1,9
310,15.15,5.95,4,1,9
311,15.5,6.75,4,1,6
312,15.7,6.35,4,1,9
313,16.2,5.9,4,1,9
314,16.35,5.35,4,1,9
315,16.2,4.55,4,1,6
316,16.55,4.2,4,1,6
317,16.95,4.75,4,1,6
318,17.05,5.1,4,1,6
319,17.3,4.8,4,1,6
320,17.3,4.15,4,1,6
321,17.6,4.3,4,1,6
322,17.05,3.7,4,1,6
323,17.25,3.05,4,1,6
324,16.65,2.8,4,1,6
325,16.55,2.15,4,1,6
326,17.2,2.05,4,1,6
327,18.15,1.95,4,1,6
328,18.05,2.45,4,1,6
329,18.15,3.05,4,1,6
330,18.6,3.45,4,1,6
331,18.4,3.6,4,1,6
332,18.85,3.2,4,1,6
333,19.1,2.65,4,1,6
334,19.45,2.65,4,1,6
335,19.0,2.1,4,1,6
336,19.9,2.05,4,1,6
337,20.45,2.8,4,1,6
338,19.8,3.25,4,1,6
339,19.45,3.9,4,1,6
340,18.65,4.2,4,1,6
341,18.4,4.6,4,1,6
342,18.65,4.75,4,1,6
343,18.75,5.15,4,1,6
344,19.1,4.55,4,1,6
345,17.9,5.4,4,1,6
346,17.65,5.7,4,1,6
347,17.05,6.05,4,1,6
348,17.4,6.5,4,1,6
349,16.6,6.85,4,1,6
350,15.7,7.15,4,1,6
351,15.75,7.75,4,1,6
352,16.6,7.95,4,1,6
353,20.4,3.4,4,1,6
354,20.7,3.45,4,1,6
355,21.15,2.85,4,1,6
356,21.75,2.65,4,1,6
357,22.0,3.25,4,1,6
358,22.2,3.5,4,1,6
359,21.45,3.75,4,1,6
360,21.1,4.05,4,1,6
361,20.15,4.3,4,1,6
362,20.8,4.7,4,1,6
363,20.7,5.15,4,1,6
364,19.75,5.05,4,1,6
365,19.85,5.5,4,1,6
366,20.4,5.65,4,1,6
367,20.55,5.75,4,1,6
368,18.7,5.75,4,1,6
369,19.25,5.95,4,1,6
370,18.4,6.0,4,1,6
371,18.45,6.6,4,1,6
372,17.65,7.05,4,1,6
373,16.7,7.4,4,1,6
374,18.65,7.3,4,1,6
375,18.05,7.35,4,1,6
376,17.85,7.75,4,1,6
377,17.5,8.25,4,1,6
378,17.15,8.6,4,1,6
379,17.05,9.0,4,1,6
380,16.4,8.7,4,1,6
381,16.05,8.95,4,1,6
382,16.05,9.6,4,1,6
383,16.5,9.75,4,1,6
384,17.25,9.6,4,1,6
385,17.6,9.9,4,1,6
386,17.8,9.3,4,1,6
387,18.0,8.55,4,1,6
388,18.8,8.1,4,1,6
389,18.8,8.35,4,1,6
390,19.4,7.6,4,1,6
391,19.25,6.6,4,1,6
392,20.05,6.95,4,1,6
393,19.8,7.5,4,1,6
394,20.05,6.35,4,1,6
395,21.15,5.7,4,1,6
396,21.65,4.85,4,1,6
397,22.15,4.35,4,1,6
398,23.05,3.35,4,1,6
399,23.05,3.8,4,1,6
400,23.15,4.4,4,1,6
401,22.5,4.75,4,1,6
402,22.15,5.2,4,1,6
403,24.15,4.55,4,1,6
404,23.5,5.05,4,1,6
405,23.1,5.3,4,1,6
406,23.0,5.75,4,1,6
407,22.2,5.75,4,1,6
408,21.85,6.2,4,1,6
409,20.75,6.55,4,1,6
410,21.0,7.15,4,1,6
411,20.75,7.65,4,1,6
412,20.0,8.2,4,1,6
413,19.5,8.65,4,1,6
414,18.85,9.05,4,1,6
415,18.75,9.55,4,1,6
416,18.6,10.0,4,1,6
417,16.95,10.35,4,1,6
418,17.35,10.85,4,1,6
419,18.0,10.65,4,1,6
420,18.5,10.55,4,1,6
421,18.1,11.1,4,1,6
422,17.55,11.3,4,1,6
423,17.95,11.9,4,1,6
424,18.3,12.0,4,1,6
425,18.0,12.5,4,1,6
426,19.0,11.65,4,1,6
427,19.5,11.05,4,1,6
428,19.45,10.55,4,1,6
429,19.4,9.65,4,1,6
430,20.1,9.4,4,1,6
431,20.05,9.95,4,1,6
432,20.05,10.2,4,1,6
433,19.35,12.2,4,1,6
434,19.2,12.25,4,1,6
435,20.05,11.6,4,1,6
436,20.6,11.15,4,1,6
437,20.7,10.65,4,1,6
438,21.3,11.65,4,1,6
439,21.8,11.15,4,1,6
440,21.85,10.7,4,1,6
441,21.65,10.05,4,1,6
442,20.95,10.2,4,1,6
443,20.9,9.7,4,1,6
444,21.65,9.45,4,1,6
445,21.2,9.25,4,1,6
446,20.75,8.75,4,1,6
447,20.55,8.75,4,1,6
448,21.1,8.0,4,1,6
449,21.65,8.65,4,1,6
450,21.75,8.2,4,1,6
451,21.95,7.55,4,1,6
452,22.0,6.75,4,1,6
453,22.8,6.45,4,1,6
454,22.65,6.65,4,1,6
455,22.75,7.05,4,1,6
456,23.0,7.35,4,1,6
457,22.55,7.9,4,1,6
458,22.2,8.7,4,1,6
459,22.9,8.45,4,1,6
460,22.35,9.2,4,1,6
461,22.75,9.35,4,1,6
462,22.4,10.05,4,1,6
463,23.05,10.9,4,1,6
464,23.3,9.85,4,1,6
465,23.95,9.8,4,1,6
466,23.65,9.1,4,1,6
467,23.7,8.85,4,1,6
468,24.25,8.25,4,1,6
469,24.85,7.95,4,1,6
470,23.5,7.85,4,1,6
471,23.85,7.35,4,1,6
472,23.95,6.9,4,1,6
473,23.65,6.5,4,1,6
474,23.6,5.7,4,1,6
475,24.3,5.65,4,1,6
476,24.8,6.4,4,1,6
477,34.05,3.5,3,2,8
478,33.05,3.85,3,2,8
479,32.0,3.8,3,2,8
480,31.9,4.4,3,2,8
481,31.05,4.75,3,2,8
482,30.4,5.65,3,2,8
483,30.75,6.1,3,2,8
484,30.0,6.7,3,2,8
485,30.1,7.4,3,2,8
486,29.5,8.15,3,2,8
487,30.75,8.0,3,2,8
488,30.85,7.35,3,2,8
489,31.5,6.75,3,2,8
490,31.75,5.95,3,2,8
491,32.35,6.45,3,2,8
492,32.8,6.0,3,2,8
493,32.05,5.1,3,2,8
494,32.8,4.8,3,2,8
495,32.65,4.4,3,2,8
496,33.65,4.6,3,2,8
497,33.05,5.15,3,2,8
498,33.6,5.45,3,2,8
499,34.5,5.05,3,2,8
500,34.9,4.65,3,2,8
501,35.45,4.1,3,2,8
502,34.6,4.05,3,2,8
503,34.2,4.2,3,2,8
504,36.3,5.2,3,2,8
505,35.55,5.35,3,2,8
506,35.95,6.05,3,2,8
507,34.8,5.85,3,2,8
508,33.7,6.15,3,2,8
509,33.95,6.6,3,2,8
510,33.7,7.05,3,2,8
511,32.75,7.1,3,2,8
512,32.3,7.65,3,2,8
513,33.0,7.9,3,2,8
514,31.95,8.15,3,2,8
515,31.15,8.65,3,2,8
516,30.35,8.85,3,2,8
517,29.85,9.0,3,2,8
518,30.7,9.15,3,2,8
519,29.7,9.9,3,2,8
520,30.45,9.95,3,2,8
521,30.95,9.85,3,2,8
522,31.8,9.45,3,2,8
523,32.45,8.8,3,2,8
524,33.55,8.6,3,2,8
525,34.35,7.7,3,2,8
526,34.7,8.0,3,2,8
527,34.6,7.25,3,2,8
528,35.0,6.8,3,2,8
529,35.5,7.35,3,2,8
530,36.1,7.5,3,2,8
531,36.55,7.0,3,2,8
532,36.0,8.2,3,2,8
533,35.35,8.05,3,2,8
534,36.55,8.65,3,2,8
535,36.4,9.1,3,2,8
536,35.5,9.1,3,2,8
537,34.55,8.85,3,2,8
538,35.25,9.4,3,2,8
539,34.4,9.5,3,2,8
540,33.5,9.3,3,2,8
541,33.85,9.8,3,2,8
542,32.5,9.65,3,2,8
543,32.3,10.25,3,2,8
544,33.3,10.3,3,2,8
545,31.6,10.5,3,2,8
546,30.6,10.5,3,2,8
547,30.4,11.1,3,2,8
548,30.9,11.45,3,2,8
549,30.7,11.65,3,2,8
550,30.4,12.05,3,2,8
551,31.2,12.0,3,2,8
552,31.95,11.35,3,2,8
553,31.65,11.05,3,2,8
554,32.95,11.15,3,2,8
555,32.65,11.7,3,2,8
556,32.25,12.25,3,2,8
557,32.05,12.25,3,2,8
558,31.3,12.7,3,2,8
559,31.95,12.95,3,2,8
560,32.75,13.1,3,2,8
561,33.15,13.2,3,2,8
562,33.1,12.75,3,2,8
563,33.15,12.1,3,2,8
564,34.3,11.75,3,2,8
565,34.0,10.85,3,2,8
566,34.65,11.0,3,2,8
567,34.8,10.1,3,2,8
568,35.65,9.85,3,2,8
569,36.35,10.0,3,2,8
570,35.55,10.75,3,2,8
571,35.8,11.55,3,2,8
572,35.2,11.75,3,2,8
573,34.7,11.75,3,2,8
574,34.95,12.75,3,2,8
575,34.05,12.55,3,2,8
576,34.05,13.05,3,2,8
577,33.25,13.7,3,2,8
578,33.2,14.15,3,2,8
579,33.25,14.7,6,2,8
580,33.0,15.15,6,2,8
581,32.95,15.65,6,2,8
582,32.6,16.15,6,2,8
583,32.45,16.75,6,2,5
584,32.65,17.05,6,2,5
585,32.75,17.3,6,2,5
586,31.75,17.2,6,2,5
587,31.7,17.65,6,2,5
588,31.0,17.5,6,2,5
589,31.15,17.9,6,2,5
590,30.45,18.05,6,2,5
591,30.05,18.8,6,2,5
592,30.55,18.8,6,2,5
593,30.5,19.3,6,2,5
594,30.25,19.4,6,2,5
595,29.6,19.85,6,2,5
596,29.15,20.55,6,2,5
597,30.25,20.45,6,2,5
598,30.7,20.05,6,2,5
599,31.0,19.9,6,2,5
600,31.55,19.65,6,2,5
601,31.5,18.55,6,2,5
602,32.05,18.6,6,2,5
603,31.95,19.1,6,2,5
604,32.6,18.35,6,2,5
605,32.85,17.95,6,2,5
606,33.45,17.45,6,2,5
607,33.7,17.0,6,2,5
608,34.25,17.35,6,2,5
609,34.3,18.05,6,2,5
610,33.85,18.4,6,2,5
611,33.05,18.85,6,2,5
612,33.25,18.95,6,2,5
613,32.8,19.15,6,2,5
614,32.3,19.85,6,2,5
615,32.8,20.0,6,2,5
616,31.75,20.25,6,2,5
617,31.75,20.75,6,2,5
618,32.1,21.15,6,2,5
619,31.55,21.6,6,2,5
620,30.65,21.3,6,2,5
621,29.95,21.6,6,2,5
622,29.5,21.6,6,2,5
623,30.35,22.05,6,2,5
624,31.05,22.0,6,2,5
625,31.55,22.2,6,2,5
626,30.95,22.65,6,2,5
627,30.3,23.1,6,2,5
628,29.6,23.15,6,2,5
629,29.35,22.55,6,2,5
630,29.2,23.85,6,2,5
631,30.75,24.0,6,2,5
632,30.95,24.15,6,2,5
633,31.45,23.7,6,2,5
634,31.95,23.15,6,2,5
635,32.55,22.05,6,2,5
636,32.6,22.55,6,2,5
637,33.25,22.25,6,2,5
638,33.65,21.9,6,2,5
639,33.5,21.3,6,2,5
640,33.1,20.75,6,2,5
641,33.8,20.4,6,2,5
642,33.85,20.0,6,2,5
643,34.15,19.3,6,2,5
644,34.85,18.85,6,2,5
645,35.3,18.55,6,2,5
646,35.4,19.35,6,2,5
647,34.55,19.75,6,2,5
648,35.05,20.0,6,2,5
649,35.95,19.85,6,2,5
650,36.35,20.6,6,2,5
651,35.5,20.55,6,2,5
652,34.45,20.65,6,2,5
653,34.4,21.25,6,2,5
654,35.0,21.05,6,2,5
655,35.75,21.3,6,2,5
656,35.05,21.5,6,2,5
657,34.6,22.05,6,2,5
658,34.2,21.75,6,2,5
659,36.25,21.95,6,2,5
660,35.7,22.3,6,2,5
661,35.5,22.9,6,2,5
662,35.85,23.25,6,2,5
663,36.3,23.8,6,2,5
664,35.45,24.1,6,2,5
665,34.9,23.5,6,2,5
666,34.2,22.9,6,2,5
667,33.85,23.3,6,2,5
668,33.25,23.35,6,2,5
669,32.45,23.7,6,2,5
670,33.6,23.9,6,2,5
671,34.25,23.95,6,2,5
672,34.25,24.1,6,2,5
673,35.4,24.7,6,2,5
674,35.15,25.3,6,2,5
675,34.4,24.9,6,2,5
676,33.7,24.85,6,2,5
677,32.25,24.45,6,2,5
678,32.5,24.7,6,2,5
679,31.45,24.45,6,2,5
680,31.55,25.2,6,2,5
681,31.05,25.0,6,2,5
682,30.25,24.3,6,2,5
683,29.8,24.8,6,2,5
684,29.6,25.5,6,2,5
685,29.7,26.05,6,2,5
686,30.5,25.5,6,2,5
687,30.65,26.0,6,2,5
688,31.25,26.05,6,2,5
689,31.45,26.95,6,2,5
690,30.75,26.9,6,2,5
691,30.65,27.15,6,2,5
692,31.25,27.85,6,2,5
693,31.85,27.75,6,2,5
694,32.7,28.2,6,2,5
695,33.25,27.55,6,2,5
696,32.4,27.1,6,2,5
697,32.15,26.65,6,2,5
698,32.35,25.95,6,2,5
699,32.95,25.5,6,2,5
700,33.85,26.05,6,2,5
701,33.05,26.5,6,2,5
702,33.65,27.0,6,2,5
703,34.1,27.35,6,2,5
704,34.2,27.95,6,2,5
705,34.65,26.85,6,2,5
706,35.25,26.0,6,2,5
707,35.7,26.15,6,2,5
708,34.4,25.6,6,2,5
709,21.3,20.8,1,3,5
710,20.15,20.9,1,3,5
711,19.2,21.35,1,3,5
712,19.1,21.85,1,3,5
713,18.45,22.8,1,3,5
714,18.75,22.95,1,3,5
715,19.4,23.0,1,3,5
716,19.55,22.25,1,3,5
717,19.8,21.85,1,3,5
718,20.5,21.85,1,3,5
719,21.45,21.45,1,3,5
720,21.7,21.9,1,3,5
721,21.4,22.3,1,3,5
722,21.0,22.6,1,3,5
723,21.15,22.95,1,3,5
724,20.5,22.85,1,3,5
725,19.75,23.65,1,3,5
726,19.2,23.7,1,3,5
727,18.45,24.35,1,3,5
728,20.65,23.85,1,3,5
729,20.65,24.3,1,3,5
730,19.7,24.6,1,3,5
731,20.15,25.05,1,3,5
732,22.15,25.1,1,3,5
733,21.6,24.65,1,3,5
734,21.7,23.8,1,3,5
735,21.9,23.65,1,3,5
736,22.55,23.5,1,3,5
737,22.55,24.3,1,3,5
738,23.3,24.45,1,3,5
739,24.25,24.35,1,3,5
740,23.8,25.25,1,3,5
741,23.4,23.8,1,3,5
742,22.9,23.2,1,3,5
743,22.3,22.8,1,3,5
744,22.2,22.4,1,3,5
745,23.1,21.7,1,3,5
746,22.85,21.9,1,3,5
747,22.65,21.1,1,3,5
748,23.15,22.6,1,3,5
749,24.1,21.9,1,3,5
750,24.7,22.2,1,3,5
751,24.3,22.6,1,3,5
752,24.15,23.3,1,3,5
753,23.9,23.45,1,3,5
754,5.2,2.15,5,4,9
755,6.35,1.95,5,4,9
756,6.75,2.3,5,4,9
757,5.9,2.4,5,4,9
758,5.4,2.7,5,4,9
759,4.85,2.9,5,4,9
760,4.85,3.35,5,4,9
761,5.15,3.45,5,4,9
762,5.7,3.45,5,4,9
763,6.2,3.0,5,4,9
764,6.2,3.2,5,4,9
765,7.65,2.15,5,4,9
766,7.2,2.75,5,4,9
767,6.75,3.2,5,4,9
768,6.75,3.55,5,4,9
769,6.65,3.8,5,4,9
770,5.8,4.0,5,4,9
771,4.95,4.05,5,4,9
772,5.1,4.35,5,4,9
773,5.7,4.45,5,4,9
774,5.45,4.85,5,4,9
775,6.7,4.8,5,4,9
776,6.55,5.05,5,4,9
777,7.2,4.9,5,4,9
778,6.2,4.25,5,4,9
779,7.1,4.3,5,4,9
780,7.85,4.5,5,4,9
781,7.6,4.15,5,4,9
782,7.25,3.55,5,4,9
783,7.8,3.35,5,4,9
784,8.05,2.75,5,4,9
785,8.5,3.25,5,4,9
786,8.1,3.55,5,4,9
787,8.15,4.0,5,4,9
